date	created	modified	released
20111026	2	0	9
20111028	0	0	9
20111030	0	0	3
20111101	0	0	4
20111103	0	0	2
20111108	0	0	3
20111114	1	0	1
20111121	1	1	1
20111123	1	0	1
20111126	0	0	7
20111127	1	0	3
20111128	0	0	2
20111201	1	0	3
20111204	0	0	1
20111206	1	1	2
20111207	0	0	1
20111208	0	0	1
20111220	0	0	2
20111222	0	0	1
20111223	1	1	2
20111224	0	0	2
20111225	0	0	1
20120102	1	0	1
20120103	0	0	1
20120104	1	0	2
20120106	1	1	1
20120111	0	0	2
20120113	0	0	5
20120114	1	1	3
20120119	0	0	1
20120127	0	0	1
20120128	0	0	1
20120131	0	0	1
20120207	0	0	1
20120221	0	0	1
20120222	0	0	2
20120302	0	0	2
20120306	0	0	1
20120316	1	0	1
20120318	0	1	1
20120319	0	0	1
20120324	0	0	1
20120328	0	1	1
20120330	1	1	1
20120406	0	0	1
20120407	0	0	1
20120410	0	0	2
20120421	1	1	2
20120423	0	0	1
20120425	0	0	1
20120502	1	0	1
20120503	0	0	1
20120505	0	0	1
20120509	1	1	2
20120524	1	0	2
20120525	0	0	1
20120606	0	0	1
20120626	0	0	1
20120701	0	0	1
20120705	0	0	1
20120712	0	0	1
20120714	0	0	3
20120718	0	0	1
20120719	0	0	1
20120720	0	0	1
20120727	0	0	1
20120728	0	0	1
20120807	0	0	1
20120827	0	0	1
20120831	0	0	1
20120909	0	0	1
20120921	0	0	1
20121005	1	1	1
20121009	1	1	2
20121012	0	0	1
20121013	1	0	5
20121016	0	0	1
20121017	0	0	1
20121018	0	0	1
20121019	0	0	1
20121020	0	0	2
20121022	0	1	1
20121026	0	0	2
20121031	1	0	1
20121103	0	0	1
20121106	0	0	3
20121107	0	0	2
20121109	0	0	1
20121124	1	0	1
20121128	0	0	1
20121217	0	0	1
20121225	1	1	3
20121230	1	1	2
20130107	0	0	1
20130110	0	0	4
20130111	0	0	1
20130112	0	0	2
20130116	0	0	6
20130120	1	1	6
20130122	0	0	1
20130123	1	0	3
20130125	0	0	2
20130131	0	0	1
20130203	1	0	2
20130204	0	0	2
20130207	0	0	1
20130208	0	1	2
20130211	1	0	3
20130212	0	0	1
20130213	1	0	2
20130214	0	0	1
20130215	0	0	1
20130216	1	1	1
20130221	0	0	3
20130223	1	1	3
20130226	1	0	2
20130301	0	0	1
20130306	2	1	8
20130307	0	0	1
20130309	1	1	3
20130310	0	0	1
20130311	0	0	1
20130312	0	0	1
20130316	0	0	1
20130320	0	0	1
20130324	0	1	1
20130327	0	1	1
20130328	2	0	4
20130329	3	0	9
20130330	0	1	25
20130401	0	0	1
20130402	0	1	1
20130403	0	0	1
20130404	0	1	3
20130412	0	0	2
20130413	1	1	3
20130417	0	0	1
20130424	2	0	8
20130425	0	0	2
20130427	0	1	2
20130429	1	0	3
20130430	0	0	1
20130504	0	0	2
20130507	0	0	2
20130508	1	0	2
20130510	1	1	3
20130511	2	3	8
20130512	2	1	2
20130517	0	0	1
20130518	0	0	1
20130521	0	1	2
20130522	2	0	4
20130523	0	0	6
20130524	0	0	5
20130525	0	0	2
20130529	0	0	1
20130531	0	0	1
20130601	0	0	3
20130603	0	0	1
20130606	0	0	2
20130607	1	0	5
20130608	2	0	7
20130609	0	0	3
20130610	0	1	1
20130611	0	0	1
20130612	0	0	4
20130613	1	1	9
20130614	0	0	2
20130615	0	1	3
20130616	1	1	2
20130618	0	0	3
20130619	0	0	5
20130620	0	0	1
20130621	0	0	3
20130622	1	1	6
20130624	1	1	1
20130625	1	0	2
20130626	0	0	1
20130627	1	0	1
20130628	1	1	2
20130701	2	2	2
20130702	0	0	6
20130705	1	1	1
20130706	0	1	2
20130709	0	0	1
20130710	1	1	1
20130711	0	1	1
20130712	0	0	2
20130714	0	0	2
20130715	1	1	1
20130716	1	0	1
20130720	0	0	2
20130723	1	0	2
20130724	1	0	2
20130725	1	1	5
20130726	0	0	3
20130727	0	0	2
20130730	1	0	1
20130801	1	0	5
20130803	0	0	1
20130806	0	0	1
20130807	0	0	1
20130809	0	0	2
20130810	1	0	5
20130812	0	0	1
20130814	0	0	3
20130815	0	0	1
20130816	0	0	3
20130817	0	0	1
20130822	0	0	1
20130824	1	1	1
20130826	0	0	1
20130828	0	1	2
20130829	1	0	2
20130830	0	0	2
20130831	0	0	1
20130902	0	0	4
20130903	1	0	1
20130904	1	0	3
20130905	1	2	5
20130906	13	1	15
20130907	0	0	19
20130908	2	3	6
20130910	1	12	17
20130911	0	0	1
20130912	1	0	1
20130913	1	1	3
20130916	1	0	1
20130918	0	0	2
20130920	0	0	1
20130922	1	1	3
20130923	1	1	2
20130924	1	1	1
20130926	1	0	1
20130927	0	1	1
20130928	0	0	1
20131004	1	0	4
20131005	2	1	3
20131006	0	1	4
20131007	1	1	2
20131008	1	1	2
20131010	1	1	2
20131011	0	0	2
20131017	0	0	1
20131019	1	0	1
20131021	3	1	9
20131022	1	0	1
20131023	0	0	3
20131024	0	0	3
20131025	2	0	2
20131027	1	0	2
20131028	1	0	2
20131029	3	1	5
20131030	1	0	3
20131031	0	1	1
20131101	0	0	1
20131102	0	0	1
20131104	1	0	4
20131105	1	0	2
20131106	0	0	1
20131107	1	1	3
20131108	0	1	1
20131110	0	0	1
20131111	2	1	2
20131112	1	1	1
20131114	1	0	7
20131115	1	0	4
20131116	0	0	1
20131117	0	0	1
20131118	1	1	2
20131119	0	0	3
20131120	3	0	11
20131121	0	0	1
20131123	1	0	1
20131124	0	1	0
20131126	2	2	11
20131127	2	1	3
20131129	1	1	2
20131201	0	0	1
20131202	1	0	5
20131203	4	3	4
20131204	2	1	6
20131205	1	1	2
20131206	1	1	5
20131207	1	0	2
20131208	1	1	3
20131210	2	0	4
20131211	1	1	1
20131212	0	0	2
20131213	4	4	7
20131214	0	1	2
20131215	0	0	1
20131216	0	1	0
20131217	0	0	1
20131218	0	0	9
20131219	1	0	2
20131220	1	1	3
20131221	1	1	3
20131225	1	0	2
20131227	0	0	4
20131229	1	0	1
20131230	2	1	6
20131231	1	0	2
20140101	0	0	8
20140102	0	0	2
20140103	1	0	5
20140104	0	1	2
20140107	0	0	1
20140109	0	0	2
20140110	0	0	2
20140112	1	1	16
20140114	2	0	2
20140115	2	0	10
20140116	0	0	4
20140117	0	0	6
20140118	1	1	4
20140120	1	0	1
20140121	0	1	2
20140122	0	0	4
20140123	3	2	4
20140124	1	2	6
20140125	1	1	6
20140126	0	0	3
20140127	3	1	6
20140128	3	4	10
20140129	3	3	5
20140201	0	0	2
20140202	1	0	2
20140204	0	0	1
20140205	2	2	5
20140206	1	0	1
20140207	2	1	4
20140208	0	1	2
20140209	1	0	3
20140210	0	0	18
20140211	1	1	2
20140212	1	0	1
20140213	2	1	8
20140214	3	0	11
20140215	1	0	6
20140216	0	1	1
20140217	0	0	3
20140218	2	0	6
20140219	0	0	5
20140220	2	1	8
20140221	1	0	3
20140222	1	1	2
20140223	1	0	13
20140224	1	0	21
20140225	4	1	11
20140226	0	0	5
20140227	1	2	3
20140228	0	0	3
20140301	2	2	2
20140302	0	0	1
20140303	1	0	4
20140304	3	2	11
20140305	2	1	16
20140306	1	2	12
20140307	4	2	5
20140308	1	1	6
20140309	0	1	1
20140310	2	1	5
20140312	1	1	9
20140313	2	1	9
20140314	2	1	3
20140315	2	1	11
20140316	0	0	3
20140317	1	1	9
20140318	1	0	5
20140319	1	1	8
20140320	0	1	3
20140321	1	0	4
20140323	1	1	5
20140324	1	1	5
20140325	2	1	9
20140326	1	0	2
20140327	2	1	8
20140328	3	0	10
20140329	1	1	5
20140330	1	0	6
20140331	0	1	2
20140401	1	0	4
20140402	2	1	6
20140403	1	0	4
20140405	0	0	1
20140406	1	1	5
20140407	2	1	4
20140408	0	0	2
20140409	1	0	4
20140410	0	0	3
20140411	0	1	1
20140412	1	0	2
20140413	0	0	2
20140414	1	0	2
20140415	0	1	2
20140416	1	0	2
20140417	3	0	11
20140418	1	1	7
20140419	1	1	1
20140420	4	3	4
20140421	3	1	4
20140422	3	0	12
20140423	4	2	21
20140424	1	2	4
20140425	1	2	12
20140426	0	0	1
20140427	0	0	2
20140429	0	0	2
20140430	2	2	4
20140501	0	1	2
20140502	2	0	6
20140503	1	0	6
20140505	1	0	3
20140506	1	1	5
20140507	0	0	1
20140508	0	1	4
20140509	0	0	7
20140510	1	2	4
20140511	0	0	1
20140512	1	1	4
20140513	2	0	8
20140514	3	3	10
20140515	0	0	3
20140516	1	1	2
20140517	0	0	1
20140518	0	0	2
20140519	2	0	5
20140520	3	2	7
20140521	1	0	1
20140522	2	0	8
20140523	0	0	3
20140524	2	0	6
20140525	2	1	13
20140526	5	5	11
20140527	1	2	4
20140528	0	0	7
20140529	2	3	16
20140530	2	0	2
20140531	1	1	2
20140601	1	0	3
20140602	3	0	7
20140603	2	2	10
20140604	3	0	10
20140605	1	0	11
20140606	2	4	14
20140607	1	0	1
20140608	5	0	15
20140609	3	1	12
20140610	2	1	5
20140611	0	1	4
20140612	0	0	6
20140613	3	0	5
20140614	4	4	24
20140615	0	0	13
20140616	0	0	1
20140617	0	0	4
20140618	5	4	16
20140619	1	2	11
20140620	2	2	16
20140621	1	0	5
20140622	0	0	4
20140623	1	2	6
20140624	3	2	10
20140625	0	1	6
20140626	3	1	6
20140627	1	2	11
20140628	2	0	6
20140629	0	0	3
20140630	0	0	10
20140701	1	1	7
20140702	1	0	7
20140703	2	0	8
20140704	1	0	6
20140705	1	0	4
20140706	1	2	5
20140707	0	1	3
20140708	2	1	7
20140709	0	1	4
20140710	1	1	9
20140711	2	4	10
20140712	2	0	5
20140713	0	1	6
20140715	2	1	14
20140717	1	1	10
20140718	0	0	1
20140719	0	0	4
20140720	0	1	4
20140721	1	1	7
20140722	2	1	4
20140723	4	1	12
20140724	3	1	7
20140725	0	1	12
20140726	0	1	13
20140727	2	0	12
20140728	0	0	10
20140729	1	1	4
20140730	1	1	12
20140731	0	0	6
20140801	1	1	6
20140802	2	1	9
20140803	1	1	3
20140804	0	1	8
20140805	0	2	3
20140806	0	0	1
20140807	0	0	2
20140808	0	2	6
20140809	5	2	12
20140810	2	0	6
20140811	0	0	1
20140812	1	1	2
20140813	1	0	7
20140814	1	1	2
20140815	2	1	7
20140816	0	0	2
20140818	0	0	2
20140819	3	1	7
20140820	4	3	14
20140821	0	2	6
20140822	0	0	5
20140823	2	0	5
20140824	1	1	4
20140825	3	1	7
20140826	2	0	10
20140827	3	0	5
20140828	1	1	5
20140829	2	1	21
20140830	6	0	12
20140831	1	2	9
20140901	1	3	10
20140902	1	0	6
20140903	6	0	17
20140904	2	1	8
20140905	1	1	5
20140906	0	1	3
20140907	0	1	1
20140908	1	0	2
20140909	2	1	7
20140910	1	0	4
20140911	5	5	12
20140912	0	0	2
20140913	1	0	11
20140914	2	1	10
20140915	2	1	14
20140916	0	0	4
20140917	2	1	13
20140918	2	1	5
20140919	2	2	5
20140920	0	2	2
20140921	1	1	3
20140922	0	0	2
20140923	6	1	20
20140924	0	10	18
20140925	0	0	3
20140926	6	2	12
20140927	1	0	2
20140928	0	0	1
20140929	3	0	8
20140930	1	0	10
20141001	6	1	15
20141002	3	3	8
20141003	1	0	2
20141004	0	1	2
20141005	0	0	1
20141006	1	0	4
20141007	3	2	5
20141008	0	0	3
20141009	1	2	5
20141010	1	1	5
20141011	3	0	8
20141012	2	1	5
20141013	3	1	5
20141014	1	1	5
20141015	1	0	5
20141016	2	0	6
20141017	0	1	5
20141018	0	0	6
20141019	5	1	16
20141020	3	1	9
20141021	1	3	12
20141022	1	1	6
20141023	1	0	6
20141024	1	2	6
20141025	5	1	14
20141027	3	1	5
20141028	1	1	2
20141029	3	1	10
20141030	0	0	1
20141031	2	1	8
20141101	4	3	7
20141102	2	0	7
20141103	0	2	8
20141104	0	1	12
20141105	0	0	4
20141106	2	1	10
20141107	5	1	25
20141108	0	1	6
20141109	0	2	4
20141110	0	1	1
20141111	1	0	8
20141112	3	2	25
20141113	3	0	89
20141114	0	1	20
20141115	2	1	36
20141116	1	0	2
20141117	1	2	10
20141118	4	2	7
20141119	2	0	8
20141120	2	1	8
20141121	1	2	11
20141122	5	2	10
20141123	1	3	8
20141124	3	1	14
20141125	0	4	10
20141126	2	1	6
20141127	2	1	8
20141128	1	0	5
20141129	4	2	34
20141130	2	1	31
20141201	0	3	9
20141202	1	1	3
20141203	0	1	6
20141204	3	2	7
20141205	0	0	4
20141206	2	1	6
20141207	3	2	6
20141208	1	0	1
20141209	1	3	24
20141210	2	1	13
20141211	3	5	15
20141212	2	1	9
20141213	3	1	8
20141214	1	2	6
20141215	2	1	16
20141216	4	6	28
20141217	1	1	11
20141218	8	4	25
20141219	4	5	16
20141220	4	4	8
20141221	1	0	5
20141222	4	2	11
20141223	2	2	12
20141224	2	1	7
20141225	1	0	4
20141226	0	0	4
20141227	0	2	2
20141228	1	1	3
20141229	0	1	1
20141231	3	2	11
20150101	1	1	2
20150102	0	0	1
20150103	1	0	5
20150104	0	0	4
20150105	2	1	12
20150106	1	2	7
20150107	1	1	6
20150108	0	2	3
20150109	0	0	8
20150110	3	1	5
20150111	2	2	8
20150112	0	1	2
20150114	4	3	14
20150115	2	2	10
20150116	3	2	19
20150117	5	2	15
20150118	0	0	2
20150119	1	1	15
20150120	2	0	8
20150121	1	0	12
20150122	0	2	11
20150123	4	4	12
20150124	0	0	3
20150125	1	0	3
20150126	1	1	5
20150127	2	0	4
20150128	5	3	21
20150129	0	1	6
20150130	5	2	15
20150131	3	1	7
20150201	1	1	1
20150202	1	1	6
20150203	1	1	4
20150204	3	4	12
20150205	1	1	14
20150206	2	3	10
20150207	0	1	8
20150208	1	1	8
20150209	2	1	12
20150210	1	2	4
20150211	0	0	2
20150212	1	3	6
20150213	1	0	10
20150214	4	3	16
20150215	0	0	5
20150216	2	0	8
20150217	1	0	5
20150218	3	2	11
20150219	2	1	10
20150220	1	1	4
20150221	3	1	11
20150222	2	1	6
20150223	2	1	11
20150224	2	1	7
20150225	3	3	20
20150226	0	1	3
20150227	2	4	8
20150228	3	3	13
20150301	0	0	2
20150302	3	2	7
20150303	2	2	14
20150304	0	2	16
20150305	1	1	11
20150306	5	6	8
20150307	1	1	28
20150308	0	0	4
20150309	1	0	2
20150310	2	0	10
20150311	3	3	11
20150312	0	0	4
20150313	2	1	7
20150314	1	0	7
20150315	3	2	12
20150316	4	0	12
20150317	3	5	18
20150318	1	1	8
20150319	1	1	8
20150320	0	0	2
20150321	3	2	8
20150322	1	1	1
20150323	0	0	3
20150324	0	0	6
20150325	5	4	19
20150326	0	0	1
20150327	0	3	5
20150330	2	1	5
20150331	0	0	2
20150401	4	2	12
20150402	2	5	20
20150403	4	2	6
20150404	1	2	11
20150406	4	1	12
20150407	0	1	4
20150408	0	1	3
20150409	0	0	1
20150410	1	1	9
20150411	4	1	13
20150413	2	2	17
20150414	1	2	6
20150415	4	5	13
20150416	3	3	9
20150417	1	0	3
20150418	1	1	3
20150419	0	1	6
20150420	1	1	2
20150421	4	2	21
20150422	6	4	12
20150423	5	3	17
20150424	2	1	34
20150425	1	1	5
20150426	2	3	3
20150427	1	0	19
20150428	4	2	24
20150429	0	2	11
20150430	2	1	3
20150501	2	2	10
20150502	0	0	1
20150503	1	1	6
20150504	1	0	7
20150505	2	1	10
20150506	2	2	9
20150507	4	2	18
20150508	3	7	21
20150509	0	0	4
20150510	2	1	3
20150511	3	1	12
20150512	0	0	7
20150513	2	3	19
20150514	2	1	10
20150515	0	0	4
20150516	1	3	4
20150517	3	1	5
20150518	3	3	5
20150519	2	3	6
20150520	1	0	7
20150521	2	2	8
20150522	3	3	6
20150523	2	2	2
20150525	2	3	5
